店家,產品類別,品牌,名稱,售價
谷芳樂專業外場音響,耳機,Superlux舒伯樂,HD685 耳罩式高音質耳機,2500
谷芳樂專業外場音響,耳機,CAROL 佳樂,無線藍牙高音質耳機 BTH-830全配旗艦版,5500
谷芳樂專業外場音響,耳機,魔宴Sabbat,X12 Pro 藍牙耳機 真無線藍牙耳機,1580
谷芳樂專業外場音響,耳機,魔宴Sabbat,E 12 真無線 藍牙耳機,1980
谷芳樂專業外場音響,耳機,魔宴Sabbat,X12 Ultra 藍牙耳機 真無線,1880
谷芳樂專業外場音響,耳機,魔宴Sabbat,E12 Ultra 真無線藍牙耳機,2180
谷芳樂專業外場音響,耳機,LARMI 樂米,XY-70真無線藍牙耳機,890
谷芳樂專業外場音響,線材,Stander 江楠,AV to AV6.3 mm,190
谷芳樂專業外場音響,線材,谷芳樂,手工 XLR 平衡式 訊號線,450
谷芳樂專業外場音響,線材,CAROL 佳樂,一分二動圈式麥克風轉接器iCT-12,490
谷芳樂專業外場音響,線材,日本CANARE,高品質手工訊號線 3.5mm to AV 日本CANARE線材,540
谷芳樂專業外場音響,線材,谷芳樂,專業外場喇叭線 客製長度,550
谷芳樂專業外場音響,線材,谷芳樂,XLR 公對6.3mm立體 2米訊號線,580
筑蒂資訊有限公司,電腦機殼,蒙泰克 Montech,蒙泰克 Montech 君主 X1 電腦機殼 側透 內含4顆RGB固定光風扇 黑色,880
筑蒂資訊有限公司,電腦機殼,蒙泰克 Montech,蒙泰克 Montech 君主 X1 電腦機殼 側透 內含4顆RGB固定光風扇 白色,980
筑蒂資訊有限公司,滑鼠,Logitech 羅技,無線滑鼠 B170,299
筑蒂資訊有限公司,鍵盤,艾芮克 i-RocksR,艾芮克 i-RocksR K81R IRK81R 2.4GHz 無線鍵盤 剪刀腳 鈦灰色,990
筑蒂資訊有限公司,鍵盤,Logitech 羅技,Logitech 羅技 K120 USB鍵盤,329
筑蒂資訊有限公司,鍵盤,艾芮克 i-RocksR,i-rocks IRK01 IRK01SL IRK01BK IRK01PK 巧克力超薄鏡面有線鍵盤,750
筑蒂資訊有限公司,鍵盤,艾芮克 i-RocksR,i-Rocks KR6523 KR-6523 超薄迷你行動鍵盤 小鍵盤 剪刀腳鍵盤,850
筑蒂資訊有限公司,轉接頭,TP-LINK,TP-LINK TL-ANT2408CL 8dBi 室內全向天線 RP-SMA母接頭,80
筑蒂資訊有限公司,傳輸線,Hawk,Hawk MFI Lightning 充電傳輸線-1.5M 04-HLC150,180
筑蒂資訊有限公司,耳機,SADES,SADES A2 商用耳機麥克風 粉白色,899
元墨數位科技公司,商用噴墨印表機,EPSON,Epson Workforce WF-M5399 黑白高速商用印表機 純列印,13900
元墨數位科技公司,商用噴墨印表機,EPSON,EPSON WF-C5890高速商用傳真複合機,79200
元墨數位科技公司,商用噴墨印表機,EPSON,EPSON WF-C5390 高速商用噴墨印表機,13900
元墨數位科技公司,商用噴墨印表機,EPSON,Epson WorkForce Pro WF-C869R 省彩印A3微噴影印機,198000
元墨數位科技公司,商用噴墨印表機,EPSON,Epson WorkForce Pro WF-C878R省彩印A3微噴影印機,228000
元墨數位科技公司,商用噴墨印表機,EPSON,EPSON WF-M5799 黑白高速商用傳真複合機,13090
元墨數位科技公司,商用噴墨印表機,EPSON,Epson Workforce WF-M5899 黑白高速商用傳真複合機,16900
元墨數位科技公司,商用噴墨印表機,EPSON,EPSON WF-C5890 高速商用傳真噴墨複合機,16900
筑蒂資訊有限公司,CPU,intel,i3-14100【4核/8緒】3.5GHz(↑4.7GHz)/12M/UHD730/60W,4999
筑蒂資訊有限公司,CPU,intel,i5-14500【6+8核/20緒】2.6GHz(↑5.0G)/24M/UHD770/65W,8499
筑蒂資訊有限公司,CPU,intel,i7-14700【8+12核/28緒】2.1GHz(↑5.4G)/33M/UHD770/65W,13399
筑蒂資訊有限公司,CPU,intel,i9-14900【8+16核/32緒】2.0GHz(↑5.8G)/UHD770/65W,20999
筑蒂資訊有限公司,主機板,ASUS,華碩 TUF GAMING B760M-E D4 (mATX/1H1P/註5年),3999
筑蒂資訊有限公司,主機板,ASUS,華碩 TUF GAMING B760M-PLUS WIFI D4 (註五年) ,5590
筑蒂資訊有限公司,主機板,ASUS,華碩 ROG STRIX B760-A GAMING WIFI (註5年),6690
筑蒂資訊有限公司,主機板,ASUS,華碩 ROG STRIX Z790-A GAMING WIFI II (註5年),11990
筑蒂資訊有限公司,記憶體,金士頓,金士頓DDR4-3200-16G (終身保),1049
筑蒂資訊有限公司,記憶體,美光Crucial,DDR5-5600-16G* 2條=32G (終身保),1599
筑蒂資訊有限公司,SSD,金士頓,ANACOMDA巨蟒 I4F PCIe Gen4x4 NVMe M.2 SSD 1TB TLC顆粒 5年保固,2030
筑蒂資訊有限公司,SSD,SP廣穎,SP廣穎 1TB M.2 PCIe固態硬碟,1699
筑蒂資訊有限公司,HDD,Seagate,Seagate 1TB 64M/7200轉 (三年保),1699
筑蒂資訊有限公司,HDD,Seagate,Seagate 希捷 【SkyHawk監控鷹】3.5吋 1TB 64M 5900R 3年保,1790
筑蒂資訊有限公司,GPU,微星 ,GeForce RTX 3060 VENTUS 2X 8G OC 顯示卡,8990
筑蒂資訊有限公司,GPU,微星 ,RTX 3070 VENTUS 3X PLUS 8G OC LHR,18900
筑蒂資訊有限公司,GPU,ASUS,華碩 RTX3080-O10G-NOCTUA,26990
筑蒂資訊有限公司,GPU,ZOTAC ,RTX3090 AMP Core Holo(1755MHz/32.77cm/註冊五年/三風扇),49890
筑蒂資訊有限公司,電源供應器,MSI 微星,MSI 微星 MAG A650BN 電源供應器 650W 銅牌 直出 五年保固,1990
筑蒂資訊有限公司,電源供應器,威剛,威剛 XPG CORE PYLON 電源供應器 銅牌 750W 電供 5年保固,1890
筑蒂資訊有限公司,電源供應器,海韻,海韻 Focus GX-650 (金牌/模組化/十年保)  ,3090
筑蒂資訊有限公司,機殼,安鈦克 Antec,安鈦克 Antec P10C 靜音機殼  (無側透/內建風扇前3+後1),2790
筑蒂資訊有限公司,機殼,CM 酷碼,CM 酷碼 MasterBox MB400L 電腦機殼 (M-ATX),1290
